Character,Word,Count
MICHAEL,walt,110
MICHAEL,you,466
MICHAEL,sure,10
MICHAEL,you're,43
MICHAEL,warm,1
MICHAEL,enough,4
MICHAEL,getting,14
MICHAEL,up,42
MICHAEL,to,361
MICHAEL,follow,2
MICHAEL,it's,70
MICHAEL,not,66
MICHAEL,vincent,12
MICHAEL,it,154
MICHAEL,didn't,25
MICHAEL,sound,1
MICHAEL,like,33
MICHAEL,an,14
MICHAEL,animal,1
MICHAEL,exactly,3
MICHAEL,i,344
MICHAEL,mean,13
MICHAEL,whatever,6
MICHAEL,was,39
MICHAEL,wasn't,5
MICHAEL,natural,1
MICHAEL,what,170
MICHAEL,are,64
MICHAEL,spelling,1
MICHAEL,man,103
MICHAEL,bodies,2
MICHAEL,uh,34
MICHAEL,excuse,5
MICHAEL,me,118
MICHAEL,hey,138
MICHAEL,have,41
MICHAEL,seen,7
MICHAEL,my,100
MICHAEL,boy,17
MICHAEL,i'm,120
MICHAEL,sorry,27
MICHAEL,walks,1
MICHAEL,off,31
MICHAEL,camera,3
MICHAEL,running,3
MICHAEL,did,32
MICHAEL,tell,28
MICHAEL,after,15
MICHAEL,everything,3
MICHAEL,that's,25
MICHAEL,happened,6
MICHAEL,told,11
MICHAEL,stay,24
MICHAEL,on,85
MICHAEL,the,254
MICHAEL,beach,6
MICHAEL,don't,80
MICHAEL,do,71
MICHAEL,that,112
MICHAEL,listen,16
MICHAEL,say,29
MICHAEL,understand,13
MICHAEL,is,103
MICHAEL,this,89
MICHAEL,putting,4
MICHAEL,a,181
MICHAEL,protective,1
MICHAEL,arm,1
MICHAEL,around,13
MICHAEL,come,34
MICHAEL,here,68
MICHAEL,guys,7
MICHAEL,handing,3
MICHAEL,handcuffs,1
MICHAEL,jack,17
MICHAEL,look,35
MICHAEL,kid,10
MICHAEL,found,6
MICHAEL,these,7
MICHAEL,in,79
MICHAEL,jungle,3
MICHAEL,comic's,1
MICHAEL,spanish,4
MICHAEL,read,2
MICHAEL,we,108
MICHAEL,get,82
MICHAEL,home,10
MICHAEL,another,4
MICHAEL,dog,12
MICHAEL,looking,9
MICHAEL,for,70
MICHAEL,yeah,103
MICHAEL,think,25
MICHAEL,he'll,3
MICHAEL,be,53
MICHAEL,all,36
MICHAEL,right,45
MICHAEL,nine,1
MICHAEL,ten,2
MICHAEL,walt's,3
MICHAEL,more,9
MICHAEL,worried,4
MICHAEL,about,41
MICHAEL,his,38
MICHAEL,than,4
MICHAEL,anything,18
MICHAEL,plane,10
MICHAEL,so,38
MICHAEL,kids,3
MICHAEL,know,94
MICHAEL,where,37
MICHAEL,who,25
MICHAEL,guy,15
MICHAEL,were,27
MICHAEL,hanging,4
MICHAEL,out,56
MICHAEL,with,49
MICHAEL,bald,1
MICHAEL,mr,4
MICHAEL,locke,19
MICHAEL,got,64
MICHAEL,any,15
MICHAEL,he,87
MICHAEL,then,17
MICHAEL,what's,17
MICHAEL,secret,1
MICHAEL,well,14
MICHAEL,miracle,1
MICHAEL,of,98
MICHAEL,us,29
MICHAEL,survived,3
MICHAEL,crash,1
MICHAEL,want,54
MICHAEL,him,80
MICHAEL,anymore,2
MICHAEL,your,62
MICHAEL,friend,5
MICHAEL,too,14
MICHAEL,haven't,2
MICHAEL,given,1
MICHAEL,going,89
MICHAEL,can,41
MICHAEL,find,13
MICHAEL,will,11
MICHAEL,back,48
MICHAEL,as,15
MICHAEL,soon,9
MICHAEL,stops,3
MICHAEL,raining,2
MICHAEL,rain,1
MICHAEL,at,24
MICHAEL,first,5
MICHAEL,talking,16
MICHAEL,himself,5
MICHAEL,good,22
MICHAEL,nice,5
MICHAEL,just,62
MICHAEL,go,51
MICHAEL,walking,3
MICHAEL,through,4
MICHAEL,haunted,1
MICHAEL,damn,16
MICHAEL,michael,18
MICHAEL,hears,1
MICHAEL,something,18
MICHAEL,buddy,6
MICHAEL,oh,25
MICHAEL,chasing,1
MICHAEL,hear,12
MICHAEL,now,38
MICHAEL,but,40
MICHAEL,should,13
MICHAEL,probably,2
MICHAEL,head,6
MICHAEL,hands,14
MICHAEL,her,24
MICHAEL,bra,1
MICHAEL,see,32
MICHAEL,if,35
MICHAEL,thanks,19
MICHAEL,gotta,5
MICHAEL,keep,11
MICHAEL,quiet,3
MICHAEL,why,29
MICHAEL,help,16
MICHAEL,dad,3
MICHAEL,wood,2
MICHAEL,doesn't,9
MICHAEL,day,8
MICHAEL,anyway,7
MICHAEL,name,5
MICHAEL,because,14
MICHAEL,said,25
MICHAEL,sun's,1
MICHAEL,attention,3
MICHAEL,hi,4
MICHAEL,um,8
MICHAEL,am,14
MICHAEL,away,14
MICHAEL,hunt,1
MICHAEL,and,117
MICHAEL,wondering,2
MICHAEL,could,16
MICHAEL,eye,2
MICHAEL,watch,10
MICHAEL,until,5
MICHAEL,cool,3
MICHAEL,giving,6
MICHAEL,okay,85
MICHAEL,sign,2
MICHAEL,hand,3
MICHAEL,needs,3
MICHAEL,cheer,1
MICHAEL,give,8
MICHAEL,chance,1
MICHAEL,little,12
MICHAEL,better,5
MICHAEL,hell,22
MICHAEL,lot,7
MICHAEL,can't,23
MICHAEL,take,32
MICHAEL,credit,1
MICHAEL,part,4
MICHAEL,life,8
MICHAEL,till,1
MICHAEL,mother,4
MICHAEL,passed,1
MICHAEL,two,7
MICHAEL,weeks,2
MICHAEL,ago,5
MICHAEL,there,43
